epoch,train_loss,train_acc,val_loss,val_acc
1,4.7082,0.0255,3.9214,0.148
2,3.6361,0.2441,3.0828,0.4647
3,2.9126,0.4902,2.4271,0.6206
4,2.3232,0.6451,1.9733,0.7206
5,1.9053,0.748,1.669,0.7539
6,1.4385,0.698,0.768,0.8275
7,0.6729,0.8676,0.5547,0.8843
8,0.4195,0.9255,0.4155,0.9049
9,0.3071,0.9412,0.392,0.9088
10,0.2856,0.9461,0.3566,0.9118
11,0.227,0.9588,0.355,0.9137
12,0.2143,0.9588,0.3,0.9265
13,0.1958,0.9588,0.3183,0.9235
14,0.1923,0.951,0.3498,0.9069
15,0.1693,0.9608,0.349,0.9049
16,0.1577,0.9598,0.3489,0.9088
17,0.1535,0.9657,0.3182,0.9196
18,0.1633,0.9647,0.3741,0.899
19,0.169,0.9559,0.3349,0.9098
20,0.1424,0.9647,0.3834,0.9
21,0.1517,0.9569,0.4514,0.8745
22,0.1994,0.952,0.4218,0.8853
23,0.1541,0.9618,0.4028,0.8961
24,0.1508,0.9637,0.4093,0.8961
25,0.1402,0.9716,0.3677,0.9069
