epoch,train_loss,train_acc,val_loss,val_acc
1,4.6924,0.0353,3.884,0.1804
2,3.6223,0.2794,3.0634,0.4441
3,2.9394,0.498,2.422,0.6118
4,2.3494,0.6422,1.9825,0.7137
5,1.9363,0.7392,1.6436,0.7696
6,1.3765,0.7216,0.7498,0.8363
7,0.6339,0.8765,0.5115,0.8843
8,0.4501,0.9108,0.421,0.898
9,0.304,0.9412,0.3923,0.9147
10,0.2682,0.9422,0.3398,0.9324
11,0.2465,0.9392,0.3506,0.9186
12,0.2148,0.9539,0.3786,0.9049
13,0.1769,0.9578,0.36,0.9049
14,0.177,0.9618,0.3332,0.9127
15,0.1678,0.9598,0.2827,0.9255
