epoch,train_loss,train_acc,val_loss,val_acc
1,4.7595,0.0127,4.2583,0.0647
2,4.1071,0.1098,3.7597,0.2755
3,3.6752,0.299,3.3222,0.4412
4,3.2582,0.4471,2.9505,0.5735
5,2.9041,0.5706,2.5974,0.6539
6,2.1573,0.5902,1.1547,0.7725
7,1.0574,0.8284,0.7389,0.8637
8,0.6297,0.9167,0.5589,0.901
9,0.4719,0.9235,0.4489,0.9127
10,0.3637,0.9392,0.3975,0.9196
11,0.2755,0.9598,0.3735,0.9333
12,0.248,0.9549,0.3492,0.9284
13,0.2023,0.9588,0.3381,0.9275
14,0.1996,0.9647,0.3358,0.9314
15,0.1796,0.9637,0.3609,0.9186
16,0.1928,0.9598,0.331,0.9196
17,0.1768,0.9637,0.3402,0.9235
18,0.1923,0.9608,0.3317,0.9265
19,0.1532,0.9676,0.3063,0.9304
20,0.1613,0.9676,0.3277,0.9167
