epoch,train_loss,train_acc,val_loss,val_acc
1,4.8335,0.0451,3.5053,0.2882
2,3.0452,0.3833,2.2913,0.5588
3,2.0606,0.6186,1.6834,0.7078
4,1.5142,0.7461,1.2954,0.749
5,1.1775,0.7902,1.0858,0.7784
6,1.0375,0.7569,0.6499,0.8245
7,0.4777,0.8931,0.4987,0.8784
8,0.3217,0.9284,0.4068,0.8922
9,0.2637,0.9382,0.4,0.899
10,0.272,0.9265,0.4089,0.9
11,0.2712,0.9294,0.387,0.9069
12,0.214,0.949,0.4612,0.8716
13,0.1819,0.9422,0.4431,0.8922
14,0.2215,0.9412,0.4086,0.8863
15,0.1806,0.9539,0.4172,0.8775
16,0.2045,0.9441,0.5236,0.8529
17,0.2455,0.9255,0.4601,0.8853
18,0.1508,0.9618,0.4487,0.8922
19,0.1679,0.949,0.5159,0.8608
20,0.1788,0.9549,0.3593,0.9039
